tf,query,artifact,result_id,bytes,sha256
GTF2A2,GTF2A2 TCR inhibition,meta:PMC12934713,PMC12934713,2461,27b9150a3f24b37c44d3aa55c43de4863a29dcd493cd62902960a8e746bb5929
GTF2A2,GTF2A2 TCR inhibition,meta:PMC12261488,PMC12261488,1910,e306ecec769efec35a6b937270f0b2d49bd7d7495f63ea3d1bf6db9e6bab1a64
GTF2A2,GTF2A2 TCR inhibition,meta:PMC10287668,PMC10287668,2291,f16aa9e079cb078245485d492d991626757238e2b8743ec84ae4952478e997ff
GTF2A2,GTF2A2 TCR inhibition,meta:PMC11302870,PMC11302870,2052,51d16b8af871864dc6cc5c43ab626715e0a8bbae5d9ae70676cc8df57d70af15
GTF2A2,GTF2A2 TCR inhibition,meta:PMC6670834,PMC6670834,1634,c937d776b5b974ffaea8c8e8c46ee73517dbdaedac3ed14243d65ff1d7bb07e4
GTF3C2,GTF3C2 TCR inhibition,search_stdout,s_fe2a566d,5229,bce85f11e532077067aa78db83fe67f58202a6d69795ac2503430fac6167226d
GTF3C2,GTF3C2 TCR inhibition,meta:PMC12078175,PMC12078175,2805,fe222245b2ca65b5f9dc50d7d8272d115ea524c758527a01ff677cc5c1ead254
GTF3C2,GTF3C2 TCR inhibition,meta:PMC4209802,PMC4209802,2097,9872160d8c25bd67ce6b8b8512085a424a72a63c86778471c47e9dd1e49aaed9
GTF3C2,GTF3C2 TCR inhibition,meta:PMC11237943,PMC11237943,2658,ef2b0971d60bede09b7647342f727212b14aa9cf139297173a4810e66570b283
GTF3C2,GTF3C2 TCR inhibition,meta:PMC6921533,PMC6921533,1842,f170af9a2b2c51dc6fa21ef9631a0e96aa7bf8a056e01bb9343b2b27bd9444ab
GTF3C2,GTF3C2 TCR inhibition,meta:PMC12346228,PMC12346228,2249,ba00994753d57c1ddb2974e1e7bd4944c1ccd9c546523991180552ffe0dfe12a
GTF3C2,GTF3C2 TCR inhibition,meta:PMC8978620,PMC8978620,1162,214021dd42bd63d6541babc2146bf946555c4950e21ab4dfed986d3b3a6f4db9
GTF3C2,GTF3C2 TCR inhibition,meta:PMC11014665,PMC11014665,2299,8e6f2bea172ade3f2fdef67698f8f9a5e32ed30ef9bbf3047c7c340bfdd4aad3
GTF3C2,GTF3C2 TCR inhibition,meta:PMC8822241,PMC8822241,1442,637dbc68002d36308f255c4e5f75e2d7bd83bd81f0a2d9c42629aede785c43ac
GTF3C2,GTF3C2 TCR inhibition,meta:PMC12261488,PMC12261488,1910,e306ecec769efec35a6b937270f0b2d49bd7d7495f63ea3d1bf6db9e6bab1a64
GTF3C2,GTF3C2 TCR inhibition,meta:PMC3960297,PMC3960297,993,4165bde13e7968de5095e5fa1eb81f05e85e0ba6edb24c4907a106be639335fc
HIRIP3,HIRIP3 TCR inhibition,search_stdout,s_1fd9a7c2,5463,76807cc21f1d36bf56347fe4226dd93d5365bb0b639e6d31e0f1529e0b789b6d
HIRIP3,HIRIP3 TCR inhibition,meta:PMC10854748,PMC10854748,1746,c7e888d33da14675d8c78ce7588e2cf9b4a5bd4157106c0313eb244e553b9983
HIRIP3,HIRIP3 TCR inhibition,meta:PMC7860602,PMC7860602,2268,04d2317f8df8dcca6a0fc51a15f1741b3bd73617fc964daa0760af6de1b8d395
HIRIP3,HIRIP3 TCR inhibition,meta:PMC11890862,PMC11890862,1896,f78fe4dec9f73f9af8be5467e7a091e3109bfdc88a97b3798722d8cf92667a02
HIRIP3,HIRIP3 TCR inhibition,meta:PMC3842781,PMC3842781,2156,192cb486be1c6dac1fa95874107364b8e633e31e42cf16cf8b4d32b503cb0b77
HIRIP3,HIRIP3 TCR inhibition,meta:PMC12179093,PMC12179093,2767,69a3390301927cc7ae84875747cc6a765fe56f62bdcb4073f428c12b21a3b1bd
HIRIP3,HIRIP3 TCR inhibition,meta:PMC2212737,PMC2212737,2079,61c006f96c102c298a78a3d41f8c976347226e5ac6b1fd4b7056033f59669bb0
HIRIP3,HIRIP3 TCR inhibition,meta:PMC11237943,PMC11237943,2658,ef2b0971d60bede09b7647342f727212b14aa9cf139297173a4810e66570b283
